idx,true,prior_match,cond_match,ratio_match,prior_mismatch,cond_mismatch,ratio_mismatch
487,mismatch,10.0936,2.9472,0.292,3.7548,2.1461,0.5715
488,match,3.9479,4.5179,1.1444,3.3517,2.7552,0.822
489,match,4.4,2.9049,0.6602,2.8097,2.3432,0.834
490,mismatch,5.4589,2.5221,0.462,3.7629,2.1858,0.5809
491,mismatch,8.5685,3.3659,0.3928,2.9899,2.2042,0.7372
492,mismatch,9.1506,6.7511,0.7378,3.1568,3.3029,1.0463
493,match,4.2735,3.8329,0.8969,4.5435,2.5941,0.571
494,mismatch,8.3876,5.3873,0.6423,3.077,2.5861,0.8404
495,mismatch,9.2454,5.3018,0.5734,2.9588,2.7396,0.9259
496,match,4.1901,3.9423,0.9409,3.3034,4.5907,1.3897
497,mismatch,5.7539,3.2547,0.5656,2.6577,2.7869,1.0486
498,mismatch,8.526,7.0952,0.8322,3.1634,3.0556,0.9659
499,match,2.9577,2.5173,0.8511,4.4051,10.7405,2.4382
500,mismatch,7.5533,5.2728,0.6981,2.87,2.0773,0.7238
501,mismatch,7.0681,4.5098,0.6381,2.9108,2.1764,0.7477
502,mismatch,8.0817,3.6305,0.4492,3.8012,2.3206,0.6105
503,match,4.1284,1.7908,0.4338,2.8451,2.8727,1.0097
504,mismatch,7.8084,3.2989,0.4225,2.9137,2.4993,0.8578
505,mismatch,9.569,7.2719,0.7599,3.3537,3.4277,1.0221
506,mismatch,7.5725,5.8459,0.772,2.9742,3.2944,1.1077
507,match,3.6247,2.5884,0.7141,3.2742,13.6761,4.177
508,mismatch,5.2455,2.9555,0.5634,3.7352,1.9543,0.5232
509,mismatch,7.1003,3.052,0.4298,2.8732,3.203,1.1148
510,mismatch,8.9484,5.2716,0.5891,3.0486,2.7448,0.9004
511,mismatch,9.329,4.7963,0.5141,3.2132,2.7737,0.8632
512,mismatch,6.8528,5.5726,0.8132,3.1146,2.9681,0.953
513,mismatch,9.1826,3.567,0.3885,3.0737,2.3062,0.7503
514,mismatch,6.9072,4.5967,0.6655,2.7001,2.4241,0.8978
515,match,3.6247,2.5884,0.7141,3.2742,13.6761,4.177
516,mismatch,8.9905,5.0132,0.5576,2.7196,2.1225,0.7805
517,mismatch,7.0035,4.4561,0.6363,2.8827,2.7788,0.9639
518,mismatch,7.1146,2.8765,0.4043,2.9611,2.5815,0.8718
519,mismatch,7.2259,4.6952,0.6498,2.9939,3.3005,1.1024
520,mismatch,9.9046,3.301,0.3333,3.3189,2.9564,0.8908
521,mismatch,7.0419,4.2073,0.5975,2.9418,2.7597,0.9381
522,mismatch,7.3431,3.8757,0.5278,2.7578,2.789,1.0113
523,mismatch,10.9867,4.5386,0.4131,3.2516,2.6933,0.8283
524,match,3.6608,2.8159,0.7692,4.99,1.9638,0.3936
525,mismatch,7.6631,5.1255,0.6689,2.8968,2.8647,0.9889
526,mismatch,10.1623,4.5585,0.4486,3.1008,2.0314,0.6551
527,mismatch,8.7777,3.8983,0.4441,2.7918,3.1615,1.1324
528,mismatch,8.319,8.2123,0.9872,2.8449,4.6093,1.6202
529,mismatch,10.915,4.658,0.4268,3.0991,2.9381,0.948
530,mismatch,6.0209,3.3996,0.5646,2.6956,2.5521,0.9468
531,mismatch,9.0631,6.1801,0.6819,2.9937,2.9355,0.9805
532,match,3.6481,2.9736,0.8151,3.879,5.6601,1.4592
533,mismatch,7.4433,2.6852,0.3607,3.4958,2.1327,0.6101
534,mismatch,9.006,4.274,0.4746,3.3224,2.5808,0.7768
535,mismatch,8.048,5.0709,0.6301,3.003,2.6728,0.89
536,mismatch,6.1384,3.6491,0.5945,3.1199,2.2489,0.7208
537,mismatch,6.5308,2.1932,0.3358,2.9291,1.952,0.6664
538,match,5.7432,4.0352,0.7026,3.0795,4.1793,1.3571
539,mismatch,5.9715,4.5364,0.7597,3.45,3.0988,0.8982
540,match,4.1901,3.9423,0.9409,3.3034,4.5907,1.3897
541,mismatch,9.6205,4.7683,0.4956,2.9872,2.695,0.9022
542,mismatch,4.1014,3.4328,0.837,2.9577,2.4786,0.838
543,mismatch,7.9272,5.079,0.6407,3.1492,3.0277,0.9614
