idx,true,prior_match,cond_match,ratio_match,prior_mismatch,cond_mismatch,ratio_mismatch
719,match,4.7831,2.1848,0.4568,2.8101,8.7779,3.1237
720,mismatch,8.4752,5.6474,0.6663,2.9358,2.9979,1.0211
721,mismatch,8.9478,3.4515,0.3857,3.148,2.8455,0.9039
722,match,3.5986,3.8425,1.0678,3.0758,2.6935,0.8757
723,mismatch,6.6901,4.3711,0.6534,2.9743,2.4118,0.8109
724,mismatch,8.0904,4.6027,0.5689,2.9109,2.7508,0.945
725,mismatch,9.3913,4.5966,0.4895,3.0933,2.4967,0.8071
726,mismatch,9.6134,4.8999,0.5097,2.9563,2.6656,0.9016
727,mismatch,7.9479,3.4095,0.429,3.0866,2.9195,0.9459
728,mismatch,10.2821,5.4703,0.532,3.1835,2.8081,0.8821
729,match,4.1756,2.1997,0.5268,3.1119,2.5298,0.8129
730,mismatch,7.7737,4.9247,0.6335,2.9023,3.0542,1.0523
731,mismatch,6.7105,5.5746,0.8307,2.9064,3.3298,1.1457
732,mismatch,6.2838,4.3069,0.6854,2.6745,2.6626,0.9956
733,mismatch,8.603,5.7336,0.6665,3.0008,2.9363,0.9785
734,mismatch,9.021,2.469,0.2737,3.4558,2.0616,0.5966
735,mismatch,5.564,5.1774,0.9305,2.8741,3.2816,1.1418
736,mismatch,7.968,5.2036,0.6531,2.8995,3.4934,1.2048
737,mismatch,7.1525,5.5106,0.7704,2.8958,2.5788,0.8905
738,mismatch,9.0773,4.7969,0.5285,2.9844,5.4452,1.8246
739,mismatch,9.1859,4.9888,0.5431,2.9519,2.5318,0.8577
740,match,4.8211,3.9828,0.8261,2.869,4.5491,1.5856
741,mismatch,5.5024,7.9613,1.4469,2.7829,3.5503,1.2758
742,mismatch,7.4118,6.1294,0.827,3.1132,3.0612,0.9833
743,mismatch,7.8698,6.1875,0.7862,2.9488,3.4351,1.1649
744,mismatch,7.1826,5.4203,0.7546,2.5706,2.3779,0.925
745,mismatch,9.2455,3.8882,0.4206,2.9106,3.112,1.0692
746,match,4.507,2.4905,0.5526,2.7067,10.4776,3.871
747,mismatch,4.7653,4.0496,0.8498,2.8374,4.365,1.5384
748,mismatch,8.8444,4.7022,0.5317,2.8669,2.4888,0.8681
749,match,4.2735,3.8329,0.8969,4.5435,2.5941,0.571
750,mismatch,8.726,4.7044,0.5391,2.7843,3.2327,1.161
751,match,4.2243,3.1678,0.7499,3.0332,3.7979,1.2521
752,mismatch,6.7367,4.1033,0.6091,2.8195,2.2246,0.789
753,match,4.5127,3.4111,0.7559,2.9164,3.8779,1.3297
754,mismatch,8.7247,4.19,0.4802,3.0715,2.509,0.8168
755,mismatch,9.4295,3.4918,0.3703,2.9487,2.4705,0.8378
756,mismatch,6.0895,4.8597,0.798,2.9434,2.4865,0.8448
757,mismatch,6.3052,3.8487,0.6104,2.7982,3.0996,1.1077
758,mismatch,7.5076,4.2066,0.5603,2.9263,2.5234,0.8623
759,mismatch,8.0125,4.0329,0.5033,3.8493,2.673,0.6944
760,match,3.5146,4.4438,1.2644,2.9155,3.6718,1.2594
761,mismatch,7.3473,3.6938,0.5027,2.9627,2.6397,0.891
762,mismatch,7.8057,3.2769,0.4198,2.8933,2.0739,0.7168
763,mismatch,9.3873,3.3169,0.3533,2.9709,1.964,0.6611
764,mismatch,4.4112,3.0069,0.6816,2.7718,2.5133,0.9067
765,mismatch,8.1553,5.8335,0.7153,3.0449,3.1722,1.0418
766,mismatch,8.1731,2.529,0.3094,3.1331,2.6073,0.8322
767,mismatch,8.1214,5.8181,0.7164,3.0817,2.5152,0.8162
768,mismatch,8.0055,4.3505,0.5434,3.1047,3.0343,0.9773
769,mismatch,5.7076,4.8546,0.8506,3.1202,3.1892,1.0221
770,mismatch,5.0407,4.4688,0.8866,2.7872,2.8258,1.0139
771,match,4.7254,3.932,0.8321,3.3846,2.4238,0.7161
772,mismatch,4.995,3.6518,0.7311,2.9154,2.3635,0.8107
773,mismatch,9.2134,5.8125,0.6309,2.859,2.7418,0.959
774,match,3.7534,5.7543,1.5331,2.9316,2.6051,0.8886
775,mismatch,7.664,5.3214,0.6943,2.6405,2.6948,1.0206
776,mismatch,8.7257,3.6584,0.4193,2.9312,2.6118,0.891
777,mismatch,9.0781,3.3218,0.3659,3.0639,2.075,0.6772
778,mismatch,9.0916,5.5992,0.6159,2.7092,2.3433,0.865
779,mismatch,9.6082,6.7426,0.7018,2.8957,2.6457,0.9137
780,mismatch,9.6834,7.6533,0.7904,3.0444,2.8966,0.9514
781,mismatch,12.0026,4.0345,0.3361,3.2365,2.3493,0.7259
782,mismatch,6.9492,6.0146,0.8655,2.6605,2.3934,0.8996
783,mismatch,7.6038,2.9973,0.3942,3.7734,2.1243,0.563
784,mismatch,8.5756,6.2831,0.7327,2.9269,2.6448,0.9036
785,mismatch,8.7575,1.9261,0.2199,2.9529,2.4246,0.8211
786,mismatch,6.8634,2.3886,0.348,2.626,1.9038,0.725
787,match,4.5995,4.3125,0.9376,3.2065,4.8393,1.5092
788,match,3.8486,2.7749,0.721,2.7742,2.6758,0.9645
789,mismatch,8.5157,6.0619,0.7119,3.0279,3.0735,1.0151
790,mismatch,7.9639,3.4547,0.4338,2.8339,2.5889,0.9135
791,match,3.453,4.1164,1.1921,3.2601,2.4454,0.7501
792,match,4.507,2.4905,0.5526,2.7067,10.4776,3.871
793,match,4.2974,2.5007,0.5819,3.4086,2.4582,0.7212
794,mismatch,8.7167,6.5716,0.7539,3.2597,2.9065,0.8917
795,match,3.997,4.6568,1.1651,2.8679,4.0962,1.4283
796,mismatch,8.272,3.6039,0.4357,3.0339,2.1517,0.7092
797,mismatch,6.5175,6.3023,0.967,2.7774,3.213,1.1568
798,match,5.3441,2.5412,0.4755,2.7146,2.7438,1.0107
799,mismatch,8.4849,3.7237,0.4389,3.0872,2.1884,0.7089
800,mismatch,6.68,2.7327,0.4091,2.8686,2.2538,0.7857
801,match,3.3652,2.4342,0.7233,7.8277,4.0956,0.5232
802,mismatch,8.7138,7.9515,0.9125,2.9933,3.2727,1.0934
803,mismatch,8.4543,6.9372,0.8206,3.057,3.1978,1.0461
804,match,3.7534,5.7543,1.5331,2.9316,2.6051,0.8886
805,match,4.2025,3.8072,0.9059,5.1375,2.3687,0.4611
806,mismatch,8.1821,4.1925,0.5124,3.287,3.2679,0.9942
807,mismatch,7.0279,3.8087,0.5419,2.9106,2.7457,0.9433
808,mismatch,7.9142,2.2687,0.2867,2.8365,2.3863,0.8413
809,mismatch,7.4033,5.614,0.7583,2.988,3.1251,1.0459
810,mismatch,8.4547,3.753,0.4439,3.0643,2.8479,0.9294
811,mismatch,5.4466,2.3205,0.4261,3.815,2.4389,0.6393
812,mismatch,9.2742,3.6241,0.3908,2.999,2.3586,0.7865
813,mismatch,8.331,3.9676,0.4762,3.1537,2.7811,0.8818
814,mismatch,7.9546,4.1565,0.5225,2.8754,3.5782,1.2444
815,mismatch,7.2177,4.7685,0.6607,2.9162,3.0587,1.0489
816,mismatch,9.6168,5.411,0.5627,3.1431,3.1726,1.0094
817,mismatch,10.8648,4.2013,0.3867,4.2465,2.8575,0.6729
818,mismatch,6.6064,3.5211,0.533,2.8034,2.6612,0.9493
819,match,3.6481,2.9736,0.8151,3.879,5.6601,1.4592
820,mismatch,10.8727,7.3976,0.6804,2.9871,2.6256,0.879
821,mismatch,7.5868,3.8082,0.502,3.0063,2.3276,0.7743
822,mismatch,6.6099,3.8582,0.5837,2.9593,2.4024,0.8118
823,mismatch,7.4443,4.804,0.6453,2.809,2.9502,1.0502
824,mismatch,9.7111,5.1955,0.535,3.0583,3.0109,0.9845
825,mismatch,4.6423,2.6202,0.5644,3.4088,2.0884,0.6126
826,match,4.2025,3.8072,0.9059,5.1375,2.3687,0.4611
827,mismatch,6.3333,3.5734,0.5642,2.8486,3.7912,1.3309
828,mismatch,8.2799,2.7748,0.3351,2.976,2.3457,0.7882
829,mismatch,8.9404,6.5812,0.7361,3.7416,2.5854,0.691
830,mismatch,9.1537,4.8866,0.5338,2.8429,2.5665,0.9028
831,mismatch,6.4138,3.9314,0.613,3.1255,3.892,1.2453
832,mismatch,10.3255,4.3679,0.423,2.9417,2.1656,0.7361
833,match,3.5548,2.6713,0.7515,2.9343,4.3179,1.4715
834,mismatch,4.8091,3.2197,0.6695,2.8086,2.16,0.7691
835,mismatch,6.896,5.9412,0.8615,2.5503,3.0752,1.2058
836,match,5.3343,3.8156,0.7153,2.84,2.6419,0.9303
837,mismatch,8.3486,3.4695,0.4156,3.1318,3.3513,1.0701
838,match,4.7831,2.1848,0.4568,2.8101,8.7779,3.1237
839,mismatch,8.2293,4.6452,0.5645,2.838,2.4793,0.8736
840,mismatch,10.3985,5.8398,0.5616,3.1718,2.759,0.8699
841,mismatch,6.8185,3.2013,0.4695,3.617,2.5133,0.6948
842,match,4.1539,2.8643,0.6896,3.1731,2.1752,0.6855
843,mismatch,10.6273,4.0465,0.3808,3.7662,2.452,0.6511
844,mismatch,6.8713,4.0488,0.5892,2.8876,2.4862,0.861
845,match,5.5796,5.5238,0.99,2.8615,8.212,2.8698
846,mismatch,6.7358,7.5357,1.1188,2.6903,3.0295,1.1261
847,mismatch,7.1065,8.1422,1.1457,2.9973,3.5634,1.1889
848,mismatch,10.1079,8.4045,0.8315,3.157,3.4779,1.1017
849,mismatch,7.5876,5.6666,0.7468,2.9135,3.2725,1.1232
850,mismatch,8.6447,2.8937,0.3347,2.8562,2.7016,0.9459
851,mismatch,7.5101,4.9615,0.6606,2.9641,2.843,0.9592
852,mismatch,8.9583,4.2406,0.4734,3.2693,2.4029,0.735
853,mismatch,10.4625,3.5728,0.3415,3.2099,2.5995,0.8098
854,mismatch,8.7258,5.0632,0.5803,2.9642,2.7297,0.9209
855,mismatch,9.002,5.3247,0.5915,2.8214,2.2847,0.8098
856,mismatch,6.7602,7.6604,1.1332,2.9344,4.1903,1.428
857,mismatch,7.2356,5.368,0.7419,2.6574,2.5495,0.9594
858,mismatch,7.655,3.5254,0.4605,3.0899,2.1883,0.7082
859,mismatch,9.3052,6.1034,0.6559,3.0489,2.8271,0.9272
860,match,5.3343,3.8156,0.7153,2.84,2.6419,0.9303
861,mismatch,7.9867,5.8931,0.7379,3.011,2.8441,0.9446
862,mismatch,8.0964,4.9595,0.6126,2.7118,2.8041,1.034
863,match,4.64,4.0729,0.8778,2.9736,2.6305,0.8846
864,mismatch,5.3529,4.3748,0.8173,2.9253,3.9889,1.3636
865,mismatch,9.4438,3.7907,0.4014,3.1346,2.2928,0.7314
866,mismatch,8.8402,5.2447,0.5933,2.7711,2.4007,0.8663
867,mismatch,7.8448,2.8801,0.3671,3.1562,2.7814,0.8813
868,mismatch,7.5779,4.5511,0.6006,3.148,2.6049,0.8275
869,mismatch,10.1725,4.9293,0.4846,2.9231,2.5628,0.8767
870,match,6.3236,3.938,0.6227,2.6231,5.1289,1.9553
871,mismatch,7.4922,5.6809,0.7582,2.9914,2.8562,0.9548
872,mismatch,8.755,3.4924,0.3989,3.7743,2.1321,0.5649
873,mismatch,8.9009,4.1251,0.4634,3.1951,2.5427,0.7958
874,mismatch,7.8544,6.4308,0.8188,3.1162,2.7041,0.8677
875,mismatch,5.502,3.0309,0.5509,2.9628,3.8659,1.3048
876,mismatch,6.3569,8.2195,1.293,2.7498,3.3838,1.2306
877,match,4.7831,2.1848,0.4568,2.8101,8.7779,3.1237
878,match,4.1756,2.1997,0.5268,3.1119,2.5298,0.8129
879,mismatch,8.0734,4.6845,0.5802,3.0113,2.3049,0.7654
880,mismatch,8.6523,5.8504,0.6762,3.511,3.4945,0.9953
881,mismatch,9.3448,6.2499,0.6688,3.1134,2.8473,0.9145
882,mismatch,8.5736,7.5383,0.8792,2.9638,2.7413,0.9249
883,mismatch,6.7621,4.7221,0.6983,2.7785,2.5884,0.9316
884,match,6.3236,3.938,0.6227,2.6231,5.1289,1.9553
885,match,6.3236,3.938,0.6227,2.6231,5.1289,1.9553
886,mismatch,7.0394,3.117,0.4428,3.1659,2.5854,0.8166
887,mismatch,7.6296,4.1931,0.5496,3.2872,2.7269,0.8295
888,match,3.0569,3.7512,1.2271,3.6488,2.7472,0.7529
889,mismatch,9.0177,3.692,0.4094,3.1318,2.6737,0.8537
890,mismatch,7.9467,4.6657,0.5871,2.8724,2.6195,0.9119
891,mismatch,8.3472,2.9394,0.3521,2.8838,3.3396,1.1581
892,mismatch,8.7441,4.5118,0.516,2.8716,2.7157,0.9457
893,mismatch,9.4639,7.9,0.8348,3.4628,3.7863,1.0934
894,mismatch,7.2388,3.2847,0.4538,2.9654,2.9055,0.9798
895,mismatch,8.7247,4.19,0.4802,3.0715,2.509,0.8168
896,mismatch,6.5569,4.6569,0.7102,3.203,2.5861,0.8074
897,mismatch,5.9259,4.5319,0.7648,3.3089,2.7139,0.8202
898,mismatch,7.6157,2.7987,0.3675,2.9362,2.2197,0.756
899,mismatch,7.8159,3.9286,0.5026,3.0564,3.0627,1.002
900,mismatch,7.6779,4.5531,0.593,2.8332,2.4918,0.8795
901,match,4.5127,3.7459,0.8301,2.7329,3.4144,1.2494
902,mismatch,9.0402,4.9194,0.5442,2.981,3.0381,1.0192
903,mismatch,7.1235,5.0311,0.7063,2.9254,2.7694,0.9467
904,mismatch,7.2809,3.0221,0.4151,2.7257,2.5237,0.9259
905,mismatch,7.0448,2.715,0.3854,2.8841,2.1481,0.7448
906,mismatch,7.189,3.9778,0.5533,2.8743,2.5716,0.8947
907,match,4.4,2.9049,0.6602,2.8097,2.3432,0.834
908,mismatch,8.388,5.6008,0.6677,3.0235,2.5741,0.8514
909,mismatch,9.6125,7.3121,0.7607,2.5983,2.8614,1.1013
910,mismatch,6.846,3.3322,0.4867,2.9157,2.3218,0.7963
911,match,3.5548,2.6713,0.7515,2.9343,4.3179,1.4715
912,mismatch,6.4341,5.6212,0.8737,2.9976,3.0596,1.0207
913,mismatch,8.1454,3.8005,0.4666,2.8005,2.8217,1.0076
914,match,4.2243,3.1678,0.7499,3.0332,3.7979,1.2521
915,mismatch,4.5693,4.8522,1.0619,2.9153,2.6625,0.9133
916,mismatch,8.8808,3.6393,0.4098,2.9823,4.0001,1.3413
917,mismatch,8.2201,4.6635,0.5673,3.2487,2.995,0.9219
918,mismatch,7.8543,5.542,0.7056,2.8767,2.3541,0.8183
919,mismatch,9.9454,6.385,0.642,3.0528,2.8038,0.9185
920,mismatch,8.2057,5.0438,0.6147,2.7803,2.5554,0.9191
921,match,5.3343,3.8156,0.7153,2.84,2.6419,0.9303
922,match,3.8508,3.409,0.8853,3.4792,3.7233,1.0702
923,mismatch,8.8475,3.7645,0.4255,3.0393,2.7308,0.8985
924,match,3.6985,4.4067,1.1915,3.0711,2.9623,0.9646
925,mismatch,6.6945,4.1866,0.6254,3.1144,2.9923,0.9608
926,mismatch,8.7875,4.3824,0.4987,3.3034,2.506,0.7586
927,match,4.5127,3.7459,0.8301,2.7329,3.4144,1.2494
928,mismatch,8.373,4.0219,0.4803,3.5766,2.3273,0.6507
929,mismatch,6.9893,4.5754,0.6546,2.9296,2.5133,0.8579
930,match,3.8134,2.4628,0.6458,8.4527,8.3201,0.9843
931,mismatch,8.9427,3.6806,0.4116,3.1162,4.7857,1.5357
932,mismatch,7.6279,4.5933,0.6022,2.8739,3.0492,1.061
933,match,5.2771,3.129,0.5929,2.9165,1.9849,0.6806
934,mismatch,3.6887,4.6445,1.2591,3.4221,2.3917,0.6989
935,mismatch,7.5075,5.664,0.7545,3.0528,3.1701,1.0384
936,mismatch,8.0356,4.5281,0.5635,2.9398,2.5026,0.8513
937,match,3.6393,3.5243,0.9684,3.824,3.3211,0.8685
938,mismatch,10.742,5.489,0.511,3.1659,2.1404,0.6761
939,mismatch,8.533,7.4494,0.873,3.1019,3.2294,1.0411
940,match,3.997,4.6568,1.1651,2.8679,4.0962,1.4283
941,mismatch,6.5081,6.044,0.9287,2.9408,3.6967,1.2571
942,mismatch,7.5922,5.2338,0.6894,2.8184,3.0163,1.0702
943,mismatch,6.3077,3.4616,0.5488,2.9861,2.4032,0.8048
944,mismatch,9.3067,4.9343,0.5302,2.8974,3.3699,1.1631
945,mismatch,8.56,4.6476,0.5429,3.1375,2.16,0.6884
946,mismatch,7.1445,3.6468,0.5104,2.8999,3.6326,1.2526
947,mismatch,9.4359,3.0863,0.3271,2.9578,2.2936,0.7754
948,mismatch,9.3513,5.3676,0.574,3.131,3.8877,1.2417
949,mismatch,9.3625,6.6105,0.7061,2.9761,2.5834,0.868
950,mismatch,6.7356,4.3479,0.6455,2.9153,2.3635,0.8107
951,mismatch,6.4662,6.1594,0.9525,2.7763,2.8304,1.0195
952,mismatch,8.4699,2.2103,0.261,2.8571,1.913,0.6696
953,mismatch,8.8589,4.1042,0.4633,3.2183,2.5849,0.8032
954,mismatch,6.5459,3.123,0.4771,2.9288,3.1521,1.0762
955,match,4.2974,2.5007,0.5819,3.4086,2.4582,0.7212
956,match,3.8424,4.2668,1.1105,2.8851,3.5151,1.2184
957,mismatch,4.5409,3.8784,0.8541,2.7791,3.1888,1.1474
958,match,4.2764,4.5882,1.0729,2.7662,2.3046,0.8331
959,mismatch,8.3812,3.4592,0.4127,3.3931,3.1479,0.9277
960,mismatch,7.8253,7.5446,0.9641,3.0089,3.2212,1.0706
961,match,4.2025,3.8072,0.9059,5.1375,2.3687,0.4611
962,mismatch,9.8135,5.2487,0.5348,3.1281,2.4512,0.7836
963,match,5.3744,4.1483,0.7719,4.0958,3.7677,0.9199
964,match,3.1733,2.4908,0.7849,3.9078,1.9291,0.4937
965,mismatch,8.2114,3.5033,0.4266,2.8071,3.1685,1.1288
966,match,6.3236,3.938,0.6227,2.6231,5.1289,1.9553
967,mismatch,7.3511,4.1711,0.5674,2.9127,2.2909,0.7865
968,mismatch,8.4341,5.1502,0.6106,2.9243,3.8455,1.315
969,mismatch,6.4745,3.857,0.5957,3.0609,3.7454,1.2236
970,match,5.5796,5.5238,0.99,2.8615,8.212,2.8698
971,mismatch,5.5366,3.2877,0.5938,3.5003,2.4794,0.7083
972,match,3.6481,2.9736,0.8151,3.879,5.6601,1.4592
973,match,3.8508,3.409,0.8853,3.4792,3.7233,1.0702
974,mismatch,7.7841,4.5448,0.5839,2.9782,2.544,0.8542
975,mismatch,7.5807,4.4989,0.5935,2.892,2.6141,0.9039
976,match,4.8211,3.9828,0.8261,2.869,4.5491,1.5856
977,mismatch,5.7473,2.9524,0.5137,2.8197,2.0155,0.7148
978,match,4.5127,3.4111,0.7559,2.9164,3.8779,1.3297
979,mismatch,7.14,5.3242,0.7457,2.9707,3.0472,1.0257
980,match,4.5995,4.3125,0.9376,3.2065,4.8393,1.5092
981,mismatch,7.0047,4.1299,0.5896,2.8707,2.2022,0.7671
982,mismatch,7.4582,5.3297,0.7146,2.8706,3.1538,1.0986
983,mismatch,8.8205,4.2005,0.4762,3.1072,2.5945,0.835
984,mismatch,7.7635,5.7448,0.74,2.9253,3.2959,1.1267
985,mismatch,9.7146,5.1873,0.534,3.0801,2.0988,0.6814
986,mismatch,6.0747,4.1239,0.6789,2.9569,2.3781,0.8043
987,mismatch,8.8124,7.2087,0.818,3.1325,3.5652,1.1381
988,mismatch,9.3851,3.5358,0.3767,3.1053,2.8232,0.9091
989,mismatch,10.7609,5.2884,0.4914,3.6199,3.2489,0.8975
990,mismatch,7.7462,3.6291,0.4685,2.7493,3.1994,1.1637
991,mismatch,7.8364,3.3562,0.4283,2.7577,2.8814,1.0449
992,mismatch,9.298,3.9838,0.4285,3.118,3.4657,1.1115
993,match,4.871,5.1367,1.0545,2.9371,2.9542,1.0058
994,mismatch,9.5636,5.2318,0.5471,2.9987,2.483,0.828
995,mismatch,8.6365,3.0942,0.3583,2.7845,1.9263,0.6918
996,match,3.3652,2.4342,0.7233,7.8277,4.0956,0.5232
997,mismatch,8.7517,3.5828,0.4094,2.9641,1.9408,0.6548
998,mismatch,5.9621,4.5022,0.7551,2.8187,3.0712,1.0896
999,mismatch,8.6241,2.8803,0.334,2.9443,2.9213,0.9922
